INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
Поступление зарплаты на счет,Отпуск,1,0.5,женский,1,0,высшее,менеджер среднего звена,>250,0.0,39.0,40.0,Другое,ООО,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.0056497175,0.0,1.0,0.0,0.0,0.3333333333,4.0,8.0,176.0,12.0,1.0,0.0,5.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка недвижимости/ строительство,0,0.58,мужской,0,0,высшее,рабочий,>250,1.0,91.0,53.0,Другое,ОАО,женат / замужем,1.0,1.0,1.0,0.0,0.0,0.0384615385,0.0,0.0,0.0,0.0,0.5,2.0,2.0,25.0,4.0,1.0,0.0,9.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,0,0.46,женский,0,0,высшее,специалист,>250,1.0,39.0,50.0,Информационные технологии,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.1098901099,0.0,0.0,0.0,0.0,0.5,1.0,1.0,81.0,2.0,0.0,0.0,23.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1,0.48,мужской,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,<50,0.0,16.0,31.0,Другое,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.1638418079,0.0,0.0,0.0,0.0,0.3333333333,4.0,8.0,148.0,12.0,2.0,2.0,5.0,101.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Покупка автомобиля,1,0.49,женский,0,0,среднее-специальное,менеджер среднего звена,<50,2.0,75.0,46.0,Торговля,ООО,женат / замужем,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,0,0.31,мужской,0,0,высшее,вспомогательный персонал,>250,0.0,8.0,27.0,Торговля,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,37.0,3.0,0.0,0.0,22.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.24,мужской,0,0,высшее,менеджер среднего звена,>250,0.0,47.0,27.0,Информационные технологии,ООО,гражданский брак,3.0,2.0,0.0,0.0,0.0,0.0666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,3.0,0.0,1.0,11.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка автомобиля,0,0.57,женский,1,0,высшее,менеджер среднего звена,>250,1.0,19.0,33.0,Другое,ОАО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0352941176,1.0,0.0,0.0,0.0,0.0,1.0,2.0,82.0,3.0,1.0,0.0,40.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.46,мужской,2,0,среднее,вспомогательный персонал,>250,0.0,28.0,37.0,Торговля,ООО,женат / замужем,2.0,2.0,0.0,0.0,0.0,0.0804597701,0.0,0.0,0.0,0.0,0.4,4.0,6.0,160.0,10.0,2.0,0.0,12.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.26,женский,0,0,высшее,менеджер среднего звена,>250,0.0,35.0,50.0,Торговля,ООО,женат / замужем,3.0,2.0,2.0,2.0,1.0,0.0068493151,1.0,0.0,0.0,0.0,0.1666666667,1.0,5.0,145.0,6.0,1.0,1.0,47.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.53,мужской,3,0,высшее,менеджер среднего звена,>250,1.0,32.0,46.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.048,1.0,0.0,0.0,0.0,0.3333333333,2.0,4.0,119.0,6.0,1.0,0.0,27.0,93.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Другое,0,0.37,мужской,1,0,незаконченное высшее,рабочий,>250,2.0,44.0,28.0,Другое,Государственное предприятие,женат / замужем,1.0,0.0,0.0,0.0,0.0,0.0769230769,0.0,1.0,0.0,0.0,0.2,1.0,4.0,24.0,5.0,1.0,0.0,3.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Покупка автомобиля,0,0.12,мужской,1,0,высшее,менеджер среднего звена,<50,0.0,27.0,32.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0786516854,1.0,0.0,0.0,0.0,0.0,0.0,5.0,82.0,5.0,0.0,0.0,39.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.35,женский,0,0,среднее-специальное,менеджер высшего звена,<50,0.0,143.0,51.0,Торговля,ООО,женат / замужем,4.0,0.0,0.0,0.0,0.0,0.0547945205,1.0,1.0,1.0,0.0,0.25,2.0,2.0,138.0,4.0,2.0,1.0,2.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Покупка автомобиля,0,0.47,женский,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,<50,0.0,82.0,45.0,Торговля,ООО,женат / замужем,2.0,1.0,0.0,0.0,0.0,0.2826086957,0.0,2.0,0.0,0.0,0.4545454545,5.0,6.0,99.0,11.0,2.0,0.0,3.0,84.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.27,женский,1,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,<50,0.0,28.0,45.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0169491525,1.0,0.0,0.0,0.0,0.4,2.0,3.0,116.0,5.0,2.0,0.0,46.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.28,женский,0,0,среднее-специальное,вспомогательный персонал,>250,0.0,14.0,47.0,Другое,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.0,1.0,59.0,5.0,3.0,0.0,10.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
